City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Durres,AL,41.3231,19.4414,86.18,64,0,9.37,clear sky
195,Umtata,ZA,-31.5889,28.7844,52.36,87,40,6.91,scattered clouds
196,Ballina,AU,-28.8667,153.5667,59.04,99,98,21.09,light rain
197,Esfarayen,IR,37.0765,57.5101,82.06,16,0,9.06,clear sky
198,Melilla,ES,35.2937,-2.9383,84.4,74,40,4.61,scattered clouds
199,Son La,VN,21.3167,103.9,69.48,98,99,2.55,overcast clouds
200,Siderno,IT,38.2779,16.302,85.05,50,4,4.21,clear sky
201,Tinskoy,RU,56.1525,96.9161,59.54,70,93,4.23,overcast clouds
202,Ngunguru,NZ,-35.6167,174.5,51.67,83,26,11.52,scattered clouds
203,Charlestown,AU,-32.95,151.6667,62.73,81,100,5.99,overcast clouds
204,Torbay,CA,47.6666,-52.7314,76.87,58,75,18.41,broken clouds
205,Kasane,BW,-17.8167,25.15,67.32,45,75,0.69,broken clouds
206,Zabaykalsk,RU,49.6333,117.3167,68.05,76,15,3.44,few clouds
207,Weiser,US,44.251,-116.9693,89.8,32,0,3.0,clear sky
208,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,82,11.01,broken clouds
209,Guhagar,IN,17.4842,73.1929,78.75,88,100,4.21,overcast clouds
210,Manta,EC,-0.95,-80.7333,76.78,73,75,11.5,broken clouds
211,Cherskiy,RU,68.75,161.3,34.16,90,14,9.62,few clouds
212,Berlevag,NO,70.8578,29.0864,66.0,88,0,3.44,light rain
213,Kloulklubed,PW,7.0419,134.2556,82.36,73,100,2.48,moderate rain
214,Jutai,BR,-5.1833,-68.9,90.64,47,38,2.71,scattered clouds
215,Lukavica,BA,44.7628,18.1689,92.16,23,3,2.35,clear sky
216,New Norfolk,AU,-42.7826,147.0587,38.71,82,0,2.98,clear sky
217,Omboue,GA,-1.5746,9.2618,74.8,80,66,10.2,broken clouds
218,San Cristobal,VE,7.7669,-72.225,77.18,67,94,6.93,overcast clouds
219,Tura,IN,25.5198,90.2201,75.78,95,100,3.83,overcast clouds
220,Morondava,MG,-20.2833,44.2833,73.2,73,8,12.12,clear sky
221,Iqaluit,CA,63.7506,-68.5145,40.73,93,100,8.05,overcast clouds
222,Fjerritslev,DK,57.0813,9.2664,71.46,74,66,13.31,broken clouds
223,Husavik,IS,66.0449,-17.3389,50.72,78,76,6.49,broken clouds
224,Ponta Do Sol,PT,32.6667,-17.1,75.13,65,1,3.76,clear sky
225,Horta,PT,38.5333,-28.6333,76.64,78,40,8.05,scattered clouds
226,Khatanga,RU,71.9667,102.5,52.68,64,100,7.54,overcast clouds
227,Svetlogorsk,BY,52.6333,29.7333,67.5,78,8,11.27,clear sky
228,Aksarka,RU,66.5606,67.7975,48.22,67,8,7.65,clear sky
229,Cabo San Lucas,MX,22.8909,-109.9124,98.62,45,0,12.66,clear sky
230,Severo-Kurilsk,RU,50.6789,156.125,52.57,97,100,24.63,moderate rain
231,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,4.61,overcast clouds
232,Alice Springs,AU,-23.7,133.8833,43.54,48,0,5.32,clear sky
233,Kaeo,NZ,-35.1,173.7833,50.32,94,35,3.74,scattered clouds
234,Brasileia,BR,-11.0161,-68.7481,91.85,49,20,2.3,few clouds
235,Kelowna,CA,49.8831,-119.4857,87.75,32,18,1.01,few clouds
236,Luanda,AO,-8.8368,13.2343,68.97,81,71,15.77,broken clouds
237,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,86.76,27,100,10.2,overcast clouds
238,Kutoarjo,ID,-7.7169,109.9128,74.84,88,87,4.61,overcast clouds
239,Tutoia,BR,-2.7619,-42.2744,84.11,61,42,8.01,scattered clouds
240,Lasa,IT,46.6166,10.7002,81.48,69,53,2.06,broken clouds
241,Siraha,NP,26.6541,86.2087,81.91,82,100,8.03,overcast clouds
242,Seymchan,RU,62.8833,152.4333,46.72,69,100,3.42,overcast clouds
243,Porto Murtinho,BR,-21.6989,-57.8825,96.46,17,24,13.56,few clouds
244,Road Town,VG,18.4167,-64.6167,80.69,94,40,13.8,scattered clouds
245,Isangel,VU,-19.55,169.2667,76.59,85,16,11.56,few clouds
246,Portland,US,45.5234,-122.6762,75.74,68,20,6.91,few clouds
247,Narsaq,GL,60.9167,-46.05,66.42,71,8,8.03,clear sky
248,Airai,TL,-8.9266,125.4092,55.44,90,88,2.8,overcast clouds
249,Camana,PE,-16.6228,-72.7111,62.58,78,96,7.76,overcast clouds
250,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,100,100,6.91,mist
251,San,ML,13.3034,-4.8956,88.09,49,85,8.88,overcast clouds
252,Koungou,YT,-12.7336,45.2042,73.11,78,100,6.91,overcast clouds
253,Ibipeba,BR,-11.6408,-42.0111,81.7,32,38,10.69,scattered clouds
254,Watsa,CD,3.0372,29.5355,68.76,86,72,3.24,light rain
255,Hanyang,CN,32.1371,105.5126,70.23,96,99,5.84,light rain
256,Paamiut,GL,61.994,-49.6678,46.51,89,60,7.05,broken clouds
257,Maxixe,MZ,-23.8597,35.3472,67.64,84,4,6.29,clear sky
258,Hastings,GB,50.8552,0.5729,72.39,71,73,7.56,broken clouds
259,Tuatapere,NZ,-46.1333,167.6833,43.38,89,97,2.71,overcast clouds
260,Krasnotorka,UA,48.682,37.5327,67.5,59,78,9.91,broken clouds
261,Baraboo,US,43.4711,-89.7443,86.14,64,100,6.91,overcast clouds
